category_code,category_name,description,is_active
SAFE,أنظمة السلامة والحريق,لوحات الفاير، طفايات الحريق، لافتات الإخلاء، شهادات السلامة,1
COOL,تبريد وثلاجات,صيانة الثلاجات ووحدات التبريد,1
ELEC,كهرباء وإضاءة,كشافات، لمبات، لوحات كهرباء، محولات، تمديدات,1
PLMB,سباكة ومياه,صرف، خلاطات، أحواض، فلاتر مياه، محابس ووصلات,1
HVAC,تكييف وتهوية,تكييفات، مراوح، ستائر هواء,1
DOOR,أبواب وأقفال وموتورات,أبواب، كالونات، مفصلات، ماكينات أبواب أوتوماتيكية,1
WOOD,نجارة وأخشاب,وحدات خشبية، أدراج، أرفف، دواليب,1
FLOR,رخام وسيراميك وأرضيات,رخام، سيراميك، بلاط,1
GLSS,زجاج ومرايا,زجاج سكوريت، مرايا,1
PANT,دهانات وتشطيبات عامة,دهانات، نظافة الفرع، ترميمات عامة,1
SIGN,لافتات وديكور,اليافطات المضيئة، عناصر الديكور,1
TROL,معدات وعربات نقل (ترولي),الترولي وقطع غيارها,1
METL,أعمال معدنية ولحام,أعمال اللحام والحدادة والاستانلس,1
CONS,أعمال مقاولات وترميم مباني,ترميمات إنشائية وأعمال مقاولات,1
MISC,أخرى / غير مصنف,بنود تحتاج مراجعة يدوية لتصنيفها أو تصنيف فرعي جديد,1
